Cód.Original;Baia;;Nível;Cód.Barras
70490357R; 063;AA;2;789582507856 2
70443NA; 063;AA;2;789000238545 7
70921SC; 063;AA;2;130020050097 3
70490357; 063;AA;2;789582507855 5
50911298; 063;AA;2;720020050130 4
77199; 064;AA;2;789582500264 2
OTD0007; 065;AA;2;170600013880 2
4134C012E; 066;AA;2;789582502877 2
73160E; 067;AA;2;789582500158 4
ERR3622AE; 068;AA;2;789582506313 1
73194E; 069;AA;2;789582508294 1
70280CV; 070;AA;2;789000236369 1
4121C021E; 071;AA;2;100110052484 6
70150040E; 072;AA;2;789582503267 0
70490379RE; 073;AA;2;789582521328 4
70334NA; 073;AA;2;130020051599 1
70490327RE; 074;AA;2;789582508537 9
70490327; 074;AA;2;100020054023 7
70490237; 074;AA;2;100020051568 6
70032NA; 074;AA;2;789000237921 0
70490073; 075;AA;2;100020050478 9
70490345RE; 076;AA;2;789582519947 2
70360CB; 076;AA;2;789000240416 5
50930198; 076;AA;2;170020012439 9
50909390; 077;AA;2;720020050128 1
70031NA; 077;AA;2;789000236367 7
70490355RE; 077;AA;2;789582508781 6
70490355; 077;AA;2;100020054041 1
70490198E; 078;AA;2;789582504019 4
77550E; 079;AA;2;789582508327 6
70740734; 080;AA;2;100040338677 9
77405E; 081;AA;2;789582500360 1
ERR1085E; 082;AA;2;789582501675 5
70820078E; 083;AA;2;789582504768 1
ETC8808AE; 084;AA;2;789582506385 8
50942198; 085;AA;2;720020050670 5
70490333RE; 085;AA;2;789582508576 8
70141NA; 085;AA;2;789000236087 4
3571C014; 086;AA;2;100110059633 1
70490118E; 087;AA;2;789582503975 4
70724AN; 087;AA;2;130020050080 5
70490315; 088;AA;2;100020054014 5
70490315RE; 088;AA;2;789582519810 9
70374NA; 088;AA;2;789000240415 8
70273AN; 088;AA;2;789000207253 1
70335AN; 089;AA;2;130020050465 0
70490408RE; 089;AA;2;789582519961 8
70335NA; 089;AA;2;789000236092 8
;08A;AA;2;789000040373 3
36866747; 090;AA;2;100020052646 0
70490354; 091;AA;2;100020053875 3
70490354RE; 091;AA;2;789582508716 8
70321CV; 092;AA;2;130020050095 9
3688C007; 092;AA;2;789582502641 9
70321CV; 092;AA;2;130020051600 4
50951630; 092;AA;2;720020050120 5
70321 CV; 092;AA;2;730020051192 8
3572V012E; 093;AA;2;789582502370 8
2313R012; 094;AA;2;100140053722 5
70260CB; 095;AA;2;130020050132 1
36826107E; 095;AA;2;789582502499 6
50931850; 095;AA;2;789000232420 3
70540099E; 096;AA;2;789582504158 0
50949698; 097;AA;2;720020050661 3
70366NA; 097;AA;2;789854428046 9
70366AG; 097;AA;2;730020051235 2
50931996; 097;AA;2;720020010682 0
70490339RE; 097;AA;2;789582508604 8
33424107; 098;AA;2;100540059013 6
36866749; 098;AA;2;100020051229 6
 0746260; 099;AA;2;100040057509 1
36516119E;100;AA;2;789582502429 3
37765001;101;AA;2;100080052220 6
70334AN;102;AA;2;130020050464 3
76038;102;AA;2;100170050745 4
M77207E;103;AA;2;789582519543 6
77207;103;AA;2;100670050220 1
33125124E;104;AA;2;789582502163 6
77433E;104A;AA;2;789582500380 9
